name_1,name_2,geometry,pop,tot_local_sources,tot_tax_revenue,tot_current_oper_income,total_oper_expenses,net_oper_income,total_non_income_receipts,capital_expenditure,total_non_oper_expenditures,cash_balance_end
Batangas,San Pascual,POINT (121.0303753129112 13.81736012101293),65424.0,84.28726877,50.69881268,215.7005199,122.6154509,93.08506899,15.731799,32.91644016,41.66434299,134.6633659
Batangas,Santa Teresita,POINT (120.9721403148293 13.87952826195076),21127.0,15.98937275,2.99878895,67.87519188,48.53140733,19.34378455,0.09658319,4.6957426,4.6957426,60.30609682
Benguet,Bokod,POINT (120.8031256456094 16.46859747392127),13756.0,40.07493139,36.86040097,122.6899963,63.5531401,59.13685621,0.53214657,0.4662018,0.4662018,179.2467759
Batangas,Santo Tomas,POINT (121.1824598316018 14.07637376230788),179844.0,315.7303307,198.1870494,613.5915904,397.9065531,215.6850373,0.0,222.7294294,222.7294294,426.163038
Batangas,Taal,POINT (120.9381162082989 13.88862907773479),56327.0,32.45376653,10.00316029,130.1320604,93.18485097,36.9472094,0.0,24.42756489,28.85474322,21.11977241
Batangas,Talisay,POINT (121.0140447240792 14.08618299147432),45301.0,69.00623037,27.37448904,150.7594936,112.9380746,37.82141901,43.14135176,92.48516309,92.48516309,24.07151939
Batangas,Tanauan City,POINT (121.0970451896387 14.09625533146744),173366.0,754.333175,651.3968511,1218.015114,789.8623672,428.1527466,397.2724151,194.0583962,194.0583962,1010.775332
Batangas,Taysan,POINT (121.2251585359186 13.75632190815891),38007.0,44.67134918,35.21067985,128.417528,87.00452306,41.41300492,0.0,43.20796459,48.04381466,42.35714526
Benguet,Buguias,POINT (120.8414141805676 16.74271133667659),43627.0,11.24209945,6.22743427,110.0200631,73.10614738,36.91391576,0.32601565,19.58490271,19.58490271,44.33737976
Benguet,Itogon,POINT (120.7059448186399 16.32482706645307),59820.0,79.9249491,71.57251847,267.727889,141.661812,126.066077,0.0,15.18105633,15.18105633,271.0227913
Benguet,Kabayan,POINT (120.8370977847844 16.62172959518086),15260.0,3.32956267,1.61064626,76.24369767,47.67756805,28.56612962,0.22459512,8.83762586,8.83762586,50.54661792
Benguet,Kapangan,POINT (120.5973423698207 16.60293574420132),19361.0,4.405336,2.46222854,76.816229,56.70646397,20.10976503,0.33593088,5.60543265,5.60543265,29.99637593
Batangas,Tingloy,POINT (120.8917695193123 13.64797660865053),17919.0,1.36871706,0.88829577,52.85519406,38.63879796,14.2163961,0.0,9.03515793,9.03515793,11.5929934
Benguet,Kibungan,POINT (120.687390197512 16.69638712816645),17292.0,3.47965335,1.72336119,82.48902135,56.18902464,26.29999671,0.0,8.42986355,8.42986355,30.68362722
Batangas,Tuy,POINT (120.7404922338815 14.02858645052908),43743.0,14.85079208,7.17984899,105.5338047,79.95760253,25.57620213,0.0,21.48148273,21.48148273,9.74993457
Benguet,Atok,POINT (120.6967082408085 16.58369273338911),19668.0,4.04155165,2.15420835,81.19500165,46.85580345,34.3391982,0.0,4.61471329,4.61471329,103.288273
Kalinga,Tanudan,POINT (121.2658097746293 17.27947217768133),9534.0,0.41241108,0.17730918,74.31223108,45.39430334,28.91792774,0.02522942,16.70549014,16.70549014,3.88485955
Camarines Norte,Talisay,POINT (122.9243844960387 14.14286209228692),25841.0,6.63845172,3.28591092,67.66983072,62.36103834,5.30879238,0.0,1.43137002,2.69014923,1.74855681
Camarines Norte,Vinzons,POINT (122.9005375837788 14.26749458475265),43485.0,7.82248795,4.36246346,106.408924,57.79253079,48.61639316,0.0,3.503158,3.503158,62.17387323
Kalinga,Tinglayan,POINT (121.12565768797 17.24703731526374),12868.0,0.80790883,0.46651883,76.73948083,52.00140026,24.73808057,0.0,0.8004,0.8004,37.33067952
Cavite,Alfonso,POINT (120.8499896643572 14.11375426957701),51839.0,60.96751069,36.81459998,158.5768787,115.8393297,42.73754901,0.0,11.09261529,21.95082111,74.78505697
Cavite,Rosario,POINT (120.857636610349 14.41437818478385),110706.0,138.6227209,69.15850151,569.3401093,499.1944436,70.14566573,0.0,54.93258296,54.93258296,28.67282375
Ilocos Norte,Marcos,POINT (120.7030029878502 18.02496714058861),17777.0,5.59299998,3.05581474,125.294928,38.47168986,86.82323812,0.0,0.4129252,18.92441318,109.9827365
Ilocos Norte,Piddig,POINT (120.7567196195807 18.18242175547725),21497.0,9.65821294,5.23496827,141.2155462,98.49488631,42.72065986,12.0,27.0471327,39.88582079,28.49781086
Cagayan,Tuao,POINT (121.5059972943864 17.69478968685418),61535.0,19.89070576,7.04916082,157.2566025,114.5977585,42.658844,0.0,0.57875,0.57875,80.80818133
Bulacan,Angat,POINT (121.0356405529175 14.92996564158224),59237.0,39.53138617,16.20239798,147.5390329,97.05702301,50.48200984,0.0,28.1115021,28.1115021,75.38499912
Cavite,Trece Martires City,POINT (120.8699077268076 14.27866655453622),155713.0,271.0823203,196.0687651,600.7301043,359.8422643,240.88784,80.51615066,59.57826278,59.57826278,263.0378427
Cagayan,Piat,POINT (121.5324177635884 17.77224669004585),23597.0,11.241438,5.1870409,84.413054,56.70803376,27.70502024,0.40387979,2.13644593,2.13644593,83.27914568
Pangasinan,Pozzorubio,POINT (120.5195205540264 16.12009052357373),69555.0,46.56505815,19.46141009,175.8642895,99.87082532,75.99346419,0.0,28.51231838,28.51231838,113.756332
Cagayan,Rizal,POINT (121.3936252020954 17.83805212868313),17994.0,1.76160426,0.32296513,66.83999426,62.28517339,4.55482087,19.92747775,0.0,24.36917268,8.30449833
La Union,Rosario,POINT (120.4590468897557 16.24537313040383),55458.0,79.08604098,37.70802431,206.3142366,113.2064045,93.10783205,15.67267057,15.81069029,52.25579755,63.96534579
Bulacan,Balagtas,POINT (120.9208202467474 14.82773860550731),73929.0,85.77149701,57.80023828,202.2597693,161.3749876,40.88478171,0.0,29.29513043,34.08245162,44.52897031
Bulacan,Bocaue,POINT (120.9406425214792 14.7900885721833),119675.0,103.8465373,79.35944926,274.8372346,193.0639849,81.77324971,0.0,1.04835941,8.13023608,101.4799202
Bulacan,Bulacan,POINT (120.8765544903816 14.76566998111935),76565.0,23.59128614,12.94459169,153.5998629,145.0822333,8.5176296,0.0,2.37645087,14.06295175,13.60222121
Bulacan,Baliuag,POINT (120.9016360491482 14.95149729198085),149954.0,204.4038077,134.9423942,432.6601536,371.9706077,60.68954592,29.4355205,29.4843683,57.61934016,101.2656878
Bulacan,Pandi,POINT (120.9667451857787 14.8747245644278),89075.0,41.27534357,28.23196424,162.9570299,115.6740236,47.28300628,0.0,5.811109,5.811109,119.0565884
Bulacan,Bustos,POINT (120.9518684246356 14.92271803462554),67039.0,29.05840965,16.58697964,146.6983927,131.7147962,14.98359648,0.0,7.39293004,7.39293004,14.76093952
Bulacan,Calumpit,POINT (120.7796318776964 14.89266566218511),108757.0,72.9072642,60.52772648,240.2424407,201.5428464,38.69959429,15.14192067,33.84051314,36.41558372,50.51384717
Bulacan,Doña Remedios Trinidad,POINT (121.2089983101301 15.06335258094582),22663.0,12.81800925,3.50058031,191.3323443,103.9624481,87.36989614,3.31059388,25.54102438,25.54102438,117.0381502
Cagayan,Alcala,POINT (121.6774459644564 17.91648135890134),38883.0,7.23893016,2.40367253,144.6867304,115.1711867,29.51554369,0.35272,16.49198124,16.84468124,62.7065622
Bulacan,Guiguinto,POINT (120.8923363087464 14.83746463277093),99730.0,204.5501852,155.1158627,362.765488,276.0652689,86.70021909,0.0,18.97548209,18.97548209,117.039144
